REPORT_NUM,IYEAR,SIGNIFICAN,CAUSE,latitude,longitude,ONSHORE_ST,TOTAL_COST,PIPE_DIAME,MATERIAL_I,INSTALLATI,SYSTEM_PAR,HubDist,eq_count,eq_max_mag,eq_avg_depth,pipe_type
20160337,2016,NO,EQUIPMENT FAILURE,30.61829,-94.97073,TX,19000,,CARBON STEEL,2012,"ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",550979.1958027493,46,4.3,4.765,hazardous_liquid
20170413,2017,YES,CORROSION FAILURE,38.0952582,-98.5821395,KS,78223,12.0,CARBON STEEL,2012,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,173055.28589747014,3551,5.8,5.492065615319628,hazardous_liquid
20210038,2021,NO,INCORRECT OPERATION,35.3914,-98.4758,OK,61818,,CARBON STEEL,UNKNOWN,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,60852.54719115424,68,3.4,6.480308823529412,gas
20180268,2018,NO,EQUIPMENT FAILURE,28.776861,-99.249762,TX,40020,,CARBON STEEL,2017,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,383049.19088707125,124,4.8,5.362785483870968,hazardous_liquid
20120035,2012,NO,EQUIPMENT FAILURE,34.521102,-96.623514,OK,33,,MATERIAL OTHER THAN CARBON STEEL,2010,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,154926.22844543518,1915,5.7,5.30116501305483,hazardous_liquid
20190225,2019,NO,NATURAL FORCE DAMAGE,33.152138,-101.37279,TX,8695,,MATERIAL OTHER THAN CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,307150.1662420638,72,4.3,4.587083333333333,hazardous_liquid
20120374,2012,YES,MATERIAL FAILURE OF PIPE OR WELD,40.621988,-97.549726,NE,933000,8.0,CARBON STEEL,1965,"ONSHORE PIPELINE, INCLUDING VALVE SITES",437343.74033603905,14,3.3,4.692142857142857,hazardous_liquid
20110246,2011,YES,EQUIPMENT FAILURE,34.27734,-96.52176,OK,267,,,,"ONSHORE PIPELINE, INCLUDING VALVE SITES",170061.90865732433,1915,5.7,5.30116501305483,hazardous_liquid
20160336,2016,NO,EQUIPMENT FAILURE,40.803479,-84.802507,IN,16575,,MATERIAL OTHER THAN CARBON STEEL,2015,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1365461.3587547592,3,3.3,8.93,hazardous_liquid
20170381,2017,YES,INCORRECT OPERATION,29.604286,-95.131222,TX,2200,,CARBON STEEL,2017,"ONSHORE PIPELINE, INCLUDING VALVE SITES",640411.1435733307,33,4.3,4.595151515151516,hazardous_liquid
20100084,2010,NO,OTHER OUTSIDE FORCE DAMAGE,46.851256,-102.770368,ND,11170,,CARBON STEEL,1995,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,214202.33816947992,0,0.0,0.0,hazardous_liquid
20160385,2016,NO,EQUIPMENT FAILURE,47.324386,-93.762975,MN,16572,,CARBON STEEL,2002,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,826969.0861591883,1,3.3,5.0,hazardous_liquid
